"epiweek2","n","sum_genomes","Date","pcr_type","loglevels","tested","year","week","Country","end"
"2021w1",25524,NA,"w","Real-Time",NA,NA,2021,1,"South African SARS-CoV-2 Wastewater Levels",2021-01-09
"2021w2",905,NA,"w","Real-Time",NA,NA,2021,2,"South African SARS-CoV-2 Wastewater Levels",2021-01-16
"2021w3",566,NA,"w","Real-Time",NA,NA,2021,3,"South African SARS-CoV-2 Wastewater Levels",2021-01-23
"2021w4",214,NA,"w","Real-Time",NA,NA,2021,4,"South African SARS-CoV-2 Wastewater Levels",2021-01-30
"2021w5",304,2.34,"w","Real-Time",0.369215857410143,-0.3,2021,5,"South African SARS-CoV-2 Wastewater Levels",2021-02-06
"2021w6",343,NA,"w","Real-Time",NA,NA,2021,6,"South African SARS-CoV-2 Wastewater Levels",2021-02-13
"2021w7",163,NA,"w","Real-Time",NA,NA,2021,7,"South African SARS-CoV-2 Wastewater Levels",2021-02-20
"2021w8",61,64.12,"w","Real-Time",1.80699351368211,-0.3,2021,8,"South African SARS-CoV-2 Wastewater Levels",2021-02-27
"2021w9",103,33.53,"w","Real-Time",1.52543355342882,-0.3,2021,9,"South African SARS-CoV-2 Wastewater Levels",2021-03-06
"2021w10",69,491.78,"w","Real-Time",2.6917708626169,-0.3,2021,10,"South African SARS-CoV-2 Wastewater Levels",2021-03-13
"2021w11",43,7.2,"w","Real-Time",0.857332496431269,-0.3,2021,11,"South African SARS-CoV-2 Wastewater Levels",2021-03-20
"2021w12",60,4.68,"w","Real-Time",0.670245853074124,-0.3,2021,12,"South African SARS-CoV-2 Wastewater Levels",2021-03-27
"2021w13",71,NA,"w","Real-Time",NA,NA,2021,13,"South African SARS-CoV-2 Wastewater Levels",2021-04-03
"2021w14",64,6.81,"w","Real-Time",0.833147111912785,-0.3,2021,14,"South African SARS-CoV-2 Wastewater Levels",2021-04-10
"2021w15",61,1270.1,"w","Real-Time",3.10383791602561,-0.3,2021,15,"South African SARS-CoV-2 Wastewater Levels",2021-04-17
"2021w16",22184,59.54,"w","Real-Time",1.77480883031071,-0.3,2021,16,"South African SARS-CoV-2 Wastewater Levels",2021-04-24
"2021w17",308,5.87,"w","Real-Time",0.768638101247614,-0.3,2021,17,"South African SARS-CoV-2 Wastewater Levels",2021-05-01
"2021w18",408,26.59,"w","Real-Time",1.42471833733157,-0.3,2021,18,"South African SARS-CoV-2 Wastewater Levels",2021-05-08
"2021w19",173,2.34,"w","Real-Time",0.369215857410143,-0.3,2021,19,"South African SARS-CoV-2 Wastewater Levels",2021-05-15
"2021w20",4477,NA,"w","Real-Time",NA,NA,2021,20,"South African SARS-CoV-2 Wastewater Levels",2021-05-22
"2021w21",10511,81.13,"w","Real-Time",1.90918147597785,-0.3,2021,21,"South African SARS-CoV-2 Wastewater Levels",2021-05-29
"2021w22",3535,312.46,"w","Real-Time",2.49479442842837,-0.3,2021,22,"South African SARS-CoV-2 Wastewater Levels",2021-06-05
"2021w23",11424,569.93,"w","Real-Time",2.75582151798725,-0.3,2021,23,"South African SARS-CoV-2 Wastewater Levels",2021-06-12
"2021w24",16963,2332.36,"w","Real-Time",3.36779558465767,-0.3,2021,24,"South African SARS-CoV-2 Wastewater Levels",2021-06-19
"2021w25",26859,996.43,"w","Real-Time",2.99844679457535,-0.3,2021,25,"South African SARS-CoV-2 Wastewater Levels",2021-06-26
"2021w26",30793,2038.58,"w","Real-Time",3.30932775914203,-0.3,2021,26,"South African SARS-CoV-2 Wastewater Levels",2021-07-03
"2021w27",35916,3737.34,"w","Real-Time",3.57256260906372,-0.3,2021,27,"South African SARS-CoV-2 Wastewater Levels",2021-07-10
"2021w28",25533,3273.78,"w","Real-Time",3.51504949120412,-0.3,2021,28,"South African SARS-CoV-2 Wastewater Levels",2021-07-17
"2021w29",22919,857.71,"w","Real-Time",2.93334047352583,-0.3,2021,29,"South African SARS-CoV-2 Wastewater Levels",2021-07-24
"2021w30",19658,1587.12,"w","Real-Time",3.20060976441559,-0.3,2021,30,"South African SARS-CoV-2 Wastewater Levels",2021-07-31
"2021w31",18245,908.28,"w","Real-Time",2.95821975128486,-0.3,2021,31,"South African SARS-CoV-2 Wastewater Levels",2021-08-07
"2021w32",15308,3685.73,"w","Real-Time",3.56652351758817,-0.3,2021,32,"South African SARS-CoV-2 Wastewater Levels",2021-08-14
"2021w33",16891,1937.85,"w","Real-Time",3.28732015728984,-0.3,2021,33,"South African SARS-CoV-2 Wastewater Levels",2021-08-21
"2021w34",15483,777.26,"w","Real-Time",2.89056631825705,-0.3,2021,34,"South African SARS-CoV-2 Wastewater Levels",2021-08-28
"2021w35",12092,903.3,"w","Real-Time",2.95583201023242,-0.3,2021,35,"South African SARS-CoV-2 Wastewater Levels",2021-09-04
