"","Sample","Date","Site","Province","District","Lineages","Abundances","Coverage"
"1","ENV-COV-21-199",2021-10-05,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BQ.1.1.38 EW.3","0.99680118 0.00119282",98.167408
"2","ENV-COV-21-224",2021-10-18,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","XBB.1.9.1 XBB.1.5.84 XBB.1.5.57 XBB.1.5.83 XBB.1.5.25 XBB.1.22 XBB.1.5.88 XBB.1.5.65 XBB.1.5.42 XBB.1.5.16 FH.1 FL.13.1 BQ.1.1.37 BQ.1.1.36","0.28353176 0.19571000 0.10845420 0.09272920 0.08227850 0.08004797 0.05597010 0.04797050 0.01675979 0.01120447 0.00934564 0.00535713 0.00483091 0.00237314",94.973748
"3","ENV-COV-22-0412",2022-06-07,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4 BE.6 BA.4.1","0.66113329 0.20347464 0.13137887",88.760325
"4","ENV-COV-22-169",2022-05-31,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4","0.99958963",76.871886
"5","ENV-COV-22-171",2022-05-31,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4","0.99975324",82.008494
"6","ENV-COV-22-172",2022-05-31,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BF.12 BA.5.1.34 BA.5.1.23 BA.5.1 BA.5 BF.8 BA.5.2.1 BF.41 BT.2 BT.1 BA.5.1.21 BA.2","0.14334956 0.10035026 0.10035026 0.10035026 0.10035026 0.07897582 0.07897582 0.07897582 0.06831837 0.06831837 0.06831837 0.00860138",78.487108
"7","ENV-COV-22-175",2022-06-07,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.5 BA.1.19 BA.4.1.9","0.42101332 0.32708624 0.24867688",90.903923
"8","ENV-COV-22-177",2022-06-14,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4.1 BA.4.1.9 BA.5 BA.5.5 BA.4.1.8 BA.4.8 BA.5.11 BA.4.3","0.28997999 0.20455792 0.15472700 0.13194017 0.10640200 0.06827457 0.03811591 0.00228729",99.240879
"9","ENV-COV-22-182",2022-06-21,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4.1.6 BA.4.1 BA.4","0.33313293 0.33313293 0.33313293",58.803465
"10","ENV-COV-22-183",2022-06-28,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BF.3 BF.38.1 BF.38 BF.28 BF.39 BF.4 BF.6 BF.31 BF.12 BA.5.2.1 BF.18 BF.8 BA.5.2 BA.5.5 BF.10.1 BF.10","0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.07027336 0.04526400 0.01855225 0.01855225",59.281677
"11","ENV-COV-22-187",2022-07-11,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.4.1.8","0.99733987",57.72665
"12","ENV-COV-22-188",2022-07-11,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BE.1 BA.4.8","0.81522971 0.18279062",90.730027
"13","ENV-COV-22-189",2022-07-12,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.5.2.1 BA.4.8 XAR BA.5 BF.33 BA.4.1.8 BA.5.6","0.39328663 0.31961168 0.10653119 0.07717081 0.05788540 0.03291140 0.01033928",99.21747
"14","ENV-COV-22-191",2022-07-12,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.4.1.8","0.999411",50.881182
"15","ENV-COV-22-193",2022-07-19,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","XV BA.5.3.3 BA.5.3 B.1.1.529 XS","0.47408015 0.21570287 0.21570287 0.09047791 0.00112022",71.400863
"16","ENV-COV-22-195",2022-07-20,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","AY.38 B.1.1.529 AY.65","0.87929978 0.07248302 0.04195018",95.605792
"17","ENV-COV-22-197",2022-07-26,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BA.4 BA.4.7 BA.5 BA.2.19","0.40453888 0.33203700 0.25906674 0.00131406",86.436144
"18","ENV-COV-22-198",2022-07-27,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.5 BA.4.1.8","0.99756211 0.00185549",74.855366
"19","ENV-COV-22-214",2022-08-02,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.5 BA.4.1.8 BA.4.1.9 BA.5","0.71846930 0.18213101 0.05133861 0.04454491",92.22486
"20","ENV-COV-22-215",2022-08-01,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","B.1.1.529","0.99920106",61.361736
"21","ENV-COV-22-219",2022-08-02,"Bloemspruit Wastewater Treatment Works","Free State","Mangaung MM","BE.3 BA.5.11 BA.5","0.49885843 0.49801880 0.00160540",57.576163
"22","ENV-COV-22-222",2022-08-10,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BA.5.2 BA.4.1 BA.5.2.57 BA.5 XE XV","0.49759293 0.28538209 0.12014414 0.05210053 0.02857854 0.01214458",99.244223
