"epiweek2","n","sum_genomes","Date","Platform","loglevels","tested","year","week","Country","end"
"2021w1",52818,NA,"w","qPCR",NA,NA,2021,1,"South African SARS-CoV-2 Wastewater Levels",2021-01-09
"2021w2",33353,NA,"w","qPCR",NA,NA,2021,2,"South African SARS-CoV-2 Wastewater Levels",2021-01-16
"2021w3",18116,NA,"w","qPCR",NA,NA,2021,3,"South African SARS-CoV-2 Wastewater Levels",2021-01-23
"2021w4",8842,NA,"w","qPCR",NA,NA,2021,4,"South African SARS-CoV-2 Wastewater Levels",2021-01-30
"2021w5",6280,NA,"w","qPCR",NA,NA,2021,5,"South African SARS-CoV-2 Wastewater Levels",2021-02-06
"2021w6",4618,NA,"w","qPCR",NA,NA,2021,6,"South African SARS-CoV-2 Wastewater Levels",2021-02-13
"2021w7",3348,NA,"w","qPCR",NA,NA,2021,7,"South African SARS-CoV-2 Wastewater Levels",2021-02-20
"2021w8",2642,46.3247125854298,"w","qPCR",1.66581273348583,-0.3,2021,8,"South African SARS-CoV-2 Wastewater Levels",2021-02-27
"2021w9",2197,4.68,"w","qPCR",0.670245853074124,-0.3,2021,9,"South African SARS-CoV-2 Wastewater Levels",2021-03-06
"2021w10",2000,49.3572775035002,"w","qPCR",1.69335119645032,-0.3,2021,10,"South African SARS-CoV-2 Wastewater Levels",2021-03-13
"2021w11",1971,4.86143267884546,"w","qPCR",0.686764276016438,-0.3,2021,11,"South African SARS-CoV-2 Wastewater Levels",2021-03-20
"2021w12",2022,6.21952268542076,"w","qPCR",0.793757056227462,-0.3,2021,12,"South African SARS-CoV-2 Wastewater Levels",2021-03-27
"2021w13",1847,NA,"w","qPCR",NA,NA,2021,13,"South African SARS-CoV-2 Wastewater Levels",2021-04-03
"2021w14",2025,4.47470162596021,"w","qPCR",0.650764081770543,-0.3,2021,14,"South African SARS-CoV-2 Wastewater Levels",2021-04-10
"2021w15",2494,1267.76515109996,"w","qPCR",3.10303880951752,-0.3,2021,15,"South African SARS-CoV-2 Wastewater Levels",2021-04-17
"2021w16",2315,16.9657383646284,"w","qPCR",1.22957276529005,-0.3,2021,16,"South African SARS-CoV-2 Wastewater Levels",2021-04-24
"2021w17",2657,11.8886098569753,"w","qPCR",1.07513107524605,-0.3,2021,17,"South African SARS-CoV-2 Wastewater Levels",2021-05-01
"2021w18",4444,2.34,"w","qPCR",0.369215857410143,-0.3,2021,18,"South African SARS-CoV-2 Wastewater Levels",2021-05-08
"2021w19",6834,2.34,"w","qPCR",0.369215857410143,-0.3,2021,19,"South African SARS-CoV-2 Wastewater Levels",2021-05-15
"2021w20",8259,NA,"w","qPCR",NA,NA,2021,20,"South African SARS-CoV-2 Wastewater Levels",2021-05-22
"2021w21",11608,60.4056305423075,"w","qPCR",1.7810774220563,-0.3,2021,21,"South African SARS-CoV-2 Wastewater Levels",2021-05-29
"2021w22",15325,296.287862119091,"w","qPCR",2.47171386031341,-0.3,2021,22,"South African SARS-CoV-2 Wastewater Levels",2021-06-05
"2021w23",28580,951.90247528407,"w","qPCR",2.97859245614124,-0.3,2021,23,"South African SARS-CoV-2 Wastewater Levels",2021-06-12
"2021w24",42177,1924.69849026933,"w","qPCR",3.28436270565329,-0.3,2021,24,"South African SARS-CoV-2 Wastewater Levels",2021-06-19
"2021w25",53978,1304.74978635087,"w","qPCR",3.115527234413,-0.3,2021,25,"South African SARS-CoV-2 Wastewater Levels",2021-06-26
"2021w26",64811,2929.34466533515,"w","qPCR",3.46677047357535,-0.3,2021,26,"South African SARS-CoV-2 Wastewater Levels",2021-07-03
"2021w27",57351,3399.47289045976,"w","qPCR",3.53141158218591,-0.3,2021,27,"South African SARS-CoV-2 Wastewater Levels",2021-07-10
"2021w28",37490,3340.7874344563,"w","qPCR",3.5238488434982,-0.3,2021,28,"South African SARS-CoV-2 Wastewater Levels",2021-07-17
"2021w29",29742,568.702194155479,"w","qPCR",2.75488490384172,-0.3,2021,29,"South African SARS-CoV-2 Wastewater Levels",2021-07-24
"2021w30",33261,1181.17245149856,"w","qPCR",3.07231330935494,-0.3,2021,30,"South African SARS-CoV-2 Wastewater Levels",2021-07-31
"2021w31",33397,470.473661714671,"w","qPCR",2.67253531555891,-0.3,2021,31,"South African SARS-CoV-2 Wastewater Levels",2021-08-07
